"Address","MaxLength","Original","Cantonese","English","Patched Japanese","Comments"
"0x1C08AC","24","Ｌトリガー ：ページ送り","Ｌ掣     ：上一頁","L: Previous Page","",""
"0x1C08C4","24","Ｒトリガー ：ページ送り","Ｒ掣     ：下一頁","R: Next Page","",""
"//0x1C08DC","20","Ｃボタン   ：決定","","","",""
"0x1C0908","32","知らない人と対戦や会話をします"," 請不要超越現實世界的道徳標準","You are playing with strangers","",""
"0x1C0928","40","マナーやエチケットに気をつけましょう"," 使他人感到冒犯或煩擾、注意網絡禮儀"," Be mindful of manners and etiquette","",""
"//0x1C0950","36","不特定多数の人が会話を見ています","","","",""
"//0x1C0974","36","住所や電話番号を教えてはいけません","","","",""
"//0x1C0998","24","公序良俗に反する発言","","","",""
"//0x1C09B0","36","法律に触れる発言をしてはいけません","","","",""
"//0x1C09D4","20","対戦中は１分１３円","","","",""
"//0x1C09E8","32","それ以外は３分１０円の課金です","","","",""
"//0x1C0A08","36","通信対戦中に本体のふたを開けたり","","","",""
"//0x1C0A2C","32","電源を切ったりしてはいけません","","","",""
"//0x1C0A4C","24","電話料金がかかります","","","",""
"//0x1C0A64","28","つなぎ過ぎに注意しましょう","","","",""
"0x1C0A80","16","　ＩＤ選択　","　ＩＤ選擇　","ID Selection","",""
"0x1C0A90","16","相手のＩＤへ","選擇","Select","",""
"0x1C0AA0","8","削除","刪除","Delete","",""
"0x1C0AA8","16","ヒマラヤ山脈","喜馬拉雅山脈","Himalayans","",""
"0x1C0AB8","20","タクラマカン砂漠","塔克拉瑪干沙漠","Taklamakan Desert","",""
"0x1C0ACC","24","ククルス・ドアンの島","庫克羅斯・徳安之島","Cucuruz Doan's Island","",""
"0x1C0AE4","20","黒海南岸森林地帯","黒海南岸森林地帶","Black Sea Forest","",""
"0x1C0AF8","12","オデッサ","奧迪沙","Odessa","",""
"0x1C0B04","16","ベルファスト","貝爾法斯特","Belfast","",""
"0x1C0B14","12","シアトル","西雅圖","Seattle","",""
"0x1C0B20","8","大西洋","大西洋","Atlanti","",""
"0x1C0B28","16","ニューヤーク","紐約","New York","",""
"0x1C0B38","20","グレートキャニオン","大峽谷","Grand Canyon","",""
"0x1C0B4C","12","ジャブロー","査布羅","Jaburo","",""
"0x1C0B58","12","地下基地","地下基地","UG Complex","",""
"0x1C0B64","12","ソロモン","所羅門","Solomon","",""
"0x1C0B70","16","ソロモン宙域","所羅門宙域","Solomon (Space)","",""
"0x1C0B80","24","ア・バオア・クー宙域","阿・巴瓦・庫 宙域","A Baoa Qu (Space)","",""
"0x1C0B98","24","ア・バオア・クー外部","阿・巴瓦・庫 外部","A Baoa Qu (Outter)","",""
"0x1C0BB0","24","ア・バオア・クー内部","阿・巴瓦・庫 内部","A Baoa Qu (Inner)","",""
"0x1C0BC8","20","テキサスコロニー","徳薩斯州殖民地","Texas Colony","",""
"0x1C0BDC","12","衛星軌道１","衛星軌道１","Sat.Orbit 1","",""
"0x1C0BE8","12","衛星軌道２","衛星軌道２","Sat.Orbit 2","",""
"0x1C0BF4","16","サイド６宙域","SIDE 6 宙域","SIDE 6 (Space)","",""
"0x1C0C04","16","サイド７内部","SIDE 7 内部","SIDE 7 (Inner)","",""
"0x1C0C14","12","ルナツー","Luna II","Luna II","",""
"//0x1C0C20","4","　","","","",""
"//0x1C0C24","4","■","","","",""
"//0x1C0C28","116","ろー　　ちこそしいはきくにまのりもみらせたすとかなひてさんつぬふあうえおやゆよわ　　　　　ほへ゛゜　むれけ　ねるめ","","","",""
"//0x1C0C9C","116","ロー　　チコソシイハキクニマノリモミラセタストカナヒテサンツヌフアウエオヤユヨワ　　　　　ホヘ゛゜　ムレケ　ネルメ","","","",""
"0x1C2414","16","アムロ・レイ","阿寶・尼爾","Amuro","",""
"0x1C2424","16","カイ・シデン","凱・西丁","Kai","",""
"0x1C2434","20","ハヤト・コバヤシ","小林・隼人","Hayato","",""
"0x1C2448","16","リュウ・ホセイ","龍・荷西","Ryu","",""
"0x1C2458","16","セイラ・マス","馬茜・瑪斯","Sayla","",""
"0x1C2468","20","スレッガー・ロウ","史立加・羅奧","Sleggar","",""
"0x1C247C","20","赤い彗星のシャア","紅彗星馬沙","Char","",""
"0x1C2490","16","ランバ・ラル","頼巴・拉路","Ramba","",""
"0x1C24A0","8","ガイア","佳亞","Gaia","",""
"0x1C24A8","12","マッシュ","馬殊","Mash","",""
"0x1C24B4","12","オルテガ","奧迪加","Ortega","",""
"0x1C24C0","12","マ・クベ","馬・古比","M'qube","",""
"0x1C24CC","16","ララァ・スン","娜娜・絲","Lalah","",""
"0x1C24DC","16","ドズル・ザビ","多茲爾・薩比","Dozle","",""
"0x1C24EC","16","ガルマ・ザビ","加曼・薩比","Garma","",""
"//0x1C24FC","12","0123456789-","","","",""
"//0x1C2508","32","  このパイロット名は使えません","","","",""
"//0x1C2528","36"," パイロット名を入力してください ","","","",""
"//0x1C254C","4"," ","","","",""
"//0x1C2654","24","Ａボタンを押して下さい","","","",""
"//0x1C266C","8","******","","","",""
"0x1C2D2C","8","未登録","未註冊","Empty","",""
"0x1C2D58","8","昇　格","升　格","Promote","",""
"0x1C2D60","8","降　格","降　格","Demote","",""
"0x1C2D6C","8","二等兵","二等兵","PSC","",""
"0x1C2D74","8","一等兵","一等兵","PFC","",""
"0x1C2D7C","8","上等兵","上等兵","L/CPL","",""
"0x1C2D84","8","伍　長","伍　長","CPL","",""
"0x1C2D8C","8","軍　曹","軍　曹","SGT","",""
"0x1C2D94","8","曹　長","曹　長","SGM","",""
"0x1C2D9C","8","少　尉","少　尉","2.LT","",""
"0x1C2DA4","8","中　尉","中　尉","1.LT","",""
"0x1C2DAC","8","大　尉","大　尉","CAP","",""
"0x1C2DB4","8","少　佐","少　佐","MAJ","",""
"0x1C2DBC","8","中　佐","中　佐","L/COL","",""
"0x1C2DC4","8","大　佐","大　佐","COL","",""
"0x1C2DCC","8","少　将","少　將","M/GEN","",""
"0x1C2DD4","8","中　将","中　將","L/GEN","",""
"0x1C2DDC","8","大　将","大　將","GEN","",""
"0x1C2DE4","18","%8u位／%8u人中","%8u位／%8u人中","%8u／%8u total","",""
"//0x1C2E68","16","%4d:%02d:%02d","","","",""
"//0x1C2E78","8","× %d","","","",""
"//0x1C2E80","8","%8u円","%8u円","¥%8u","",""
"//0x1C2E88","16","課金予測情報","預計課金金額","Est Service Fee","",""
"0x1C2E80","8","%8u円","%8u人","%8u𠂉","%8u人","𠂉JIS F040 = person symbol (c0ed65bf.png)"
"0x1C2E88","16","課金予測情報","對戰中人數","In battle","対戦中人数",""
"0x1C2E98","32","更新情報、メンテナンス情報等の","査閲最新情報、server維護等資料","Various info such as updates","",""
"0x1C2EB8","32","様々な情報を見ることができます"," ","maintenance, etc. can be viewed","",""
"0x1C2ED8","40","通信ゲーム利用規約を見ることができます","査閲連線對戰的條款細則","Read the Terms and Condition","",""
"0x1C2F04","44","各モードのランキングを見ることができます","査閲排名榜和自己的排名","Check the battle ranking and your ranking","",""
"//0x1C2F30","8","ご案内","","","",""
"//0x1C2F38","4","%3d","","","",""
"0x1C2F3C","4","人","人","𠂉","","𠂉JIS F040 = person symbol (c0ed65bf.png)"
"//0x1C2F40","4","%2d","","","",""
"0x1C2F44","20","Ｇ 　人／ＤＸ 　人","Ｇ 　人／ＤＸ 　人","Ｇ 　𠂉／ＤＸ 　𠂉","","𠂉JIS F040 = person symbol (c0ed65bf.png)"
"0x1C2F58","48","チャットログ表示中／Ｘボタン・Ｂボタンで解除","正在瀏覽聊天紀録：按Ｘ／Ｂ掣解除","Showing chat log: Press X / B to cancel","",""
"//0x1C2F88","8","%2d：","","","",""
"0x1C2F90","28","−−−−募集なし−−−−","−−−−未有招募−−−−","−−No recruitment−−","",""
"//0x1C2FAC","4","▲","","","",""
"//0x1C2FB0","4","▼","","","",""
"//0x1C2FB4","8","　Ｘ　","","","",""
"0x1C2FBC","8","募集中","招募中","Recruit","",""
"0x1C2FC4","8","準備中","準備中","Standby","",""
"0x1C2FCC","8","出撃中","出撃中","Sortie","",""
"0x1C2FD4","36","パートナーを自動で選んでくれます","系統將會自動配對Partner","Auto-match a partner for you","",""
"0x1C2FF8","44","募集している人の中からパートナーを選びます","在招募中的人當中選擇Partner","Check who is recruiting","",""
"//0x1C3024","4","　","","","",""
"0x1C3028","36","一緒に戦うパートナーを募集します","招募Partner","Recruit for partners","",""
"0x1C306C","28","パートナー募集待機中です","正在等候Partner加入","Waiting for partner","",""
"0x1C3088","16","出撃準備中です","出撃準備中","Prepare sortie","",""
"0x1C3098","44","チャットログ表示中／Ｘボタン・Ｂボタンで解除","正在瀏覽聊天紀録：按Ｘ／Ｂ掣解除","Showing chat log: Press X / B to cancel","",""
"0x1C3174","10","%6d戦","%6d戰","%6dBattle","",""
"0x1C31AC","8","検索中","搜尋中","Finding","",""
"0x1C31B4","8","選択中","選擇中","Select","",""
"0x1C31BC","16","%4d戦%4d勝%4d敗","%4d戰%4d勝%4d敗","%4dB%4dW%4dL","",""
"0x1C31CC","44","これより先は１分１３円の課金がかかります","由而家起直到番去大廳,千祈唔好閂game斷線","DON'T DISCONNECT until you're back to lobby","ロビーに戻るまで接続を解除しないでください",""
"//0x1C31F8","6","%2d","","","",""
"0x1C3218","16","戦　友　登　録","戰　友　加　入"," Add Friend","",""
"//0x1C3228","8","ＩＤ","","","",""
"0x1C3230","8","ＨＮ","網名","ＨＮ","",""
"0x1C3238","8","登録","加戰友","Add","",""
"0x1C3240","48","方向ボタン左右：登録切り替え／Ｂボタン：終了","左右方向掣：切換加入戰友、Ｂ掣：完成","Left/Right：Add friend、B：Confirm","",""
"0x1C3270","24","あと　　人登録できます","可加　　人為戰友","　　　　slots available","",""
"0x1C3288","28","戦友ファイルがいっぱいです","       戰友名單已滿","   Friend list is full","",""
"0x1C32A4","8","しない","不加入","No","",""
"0x1C32AC","8","す　る","加　入","Yes","",""
"0x1C32B4","8","登録済","已加入","Added","",""
"//0x1C32BC","8","%10u","","","",""
"0x1C32C4","8","位／","位／","／","",""
"0x1C32CC","8","人中","人中"," total","",""
"//0x1C32D4","4","%5d","","","",""
"//0x1C32D8","12","９９９９９","","","",""
"0x1C32E4","4","戦","戰","B","",""
"0x1C32E8","4","勝","勝","W","",""
"0x1C32EC","4","敗","敗","L","",""
"0x1C33A4","16","%6d位／%6d人中","%6d位／%6d人中","%6d／%6d total","",""
"0x1C33B4","8","%8d円","%8d円","¥%8d","",""
"0x1C33BC","8","%4d人","%4d人","%4d𠂉","","𠂉JIS F040 = person symbol (c0ed65bf.png)"
"//0x1C3432","18","砲ランキング選択","","","",""
"//0x1C3444","8","%10u","","","",""
"0x1C344C","8","位／","位／","／","",""
"0x1C3454","8","人中","人中"," total","",""
"//0x1C345C","4","%5d","","","",""
"//0x1C3460","8","99999","","","",""
"0x1C3468","4","戦","戰","B","",""
"0x1C346C","4","勝","勝","W","",""
"0x1C3470","4","敗","敗","L","",""
"0x1C3474","8","無効","無效","Invalid","",""
"//0x1C348C","8","　Ｘ　","","","",""
"0x1C3494","8","%4d人","%4d人","%4d𠂉","","𠂉JIS F040 = person symbol (c0ed65bf.png)"
"0x1C349C","24","更新情報やランキング","最新情報和排名榜","Updates and Rankings","",""
"0x1C34B4","32","利用規約などの情報が見れます","亦可査閲條款細則或其他資料","Check T&C and other info also","",""
"0x1C34D4","32","カーソルを戦場に合わせて下さい","請移動cursor選擇戰場","Select battlefield using cursor","",""
"0x1C34F4","8","%3d人","%3d","%3d𠂉","","𠂉JIS F040 = person symbol (c0ed65bf.png)"
"0x1C3504","12","メール一覧","査閲信息","Mail List","",""
"0x1C3510","20","メールはありません"," "," ","",""
"//0x1C3524","8","ＩＤ","","","",""
"0x1C352C","8","ＨＮ","網名","ＨＮ","",""
"0x1C3534","8","状態","状態","Status","",""
"0x1C3544","8","未読","未讀","Unread","",""
"0x1C354C","8","%4d人","%4d人","%4d𠂉","","𠂉JIS F040 = person symbol (c0ed65bf.png)"
"0x1C356C","12","発言者一覧","査閲發言者","Speakers","",""
"0x1C3578","20","発言者はいません","沒有任何人發言","No speaker","",""
"0x1C358C","16","発言者　%2d人","發言者　%2d人","Speaker %2d𠂉","","𠂉JIS F040 = person symbol (c0ed65bf.png)"
"//0x1C359C","8","ＩＤ","","","",""
"0x1C35A4","8","ＨＮ","網名","ＨＮ","",""
"0x1C35AC","8","登録","加戰友","Add","",""
"0x1C35B4","48","方向ボタン左右：登録切り替え／Ｂボタン：終了","左右方向掣：切換加入戰友、Ｂ掣：完成","Left/Right：Add friend、B：Confirm","",""
"0x1C35E4","24","あと　　人登録できます","可加　　人為戰友","　　　　slots available","",""
"//0x1C35FC","4","%2d","","","",""
"0x1C3600","28","戦友ファイルがいっぱいです","戰友儲存空間已滿","Friend list is full","",""
"//0x1C361C","4","▲","","","",""
"//0x1C3620","4","▼","","","",""
"0x1C3624","8","しない","不加入","No","",""
"0x1C362C","8","す　る","加　入","Yes","",""
"0x1C3634","8","登録済","已加入","Added","",""
"//0x1C363C","8","HN変更","","","",""
"0x1C38C4","32","メモリーカードチェック中・・・","正在檢査記憶體・・・","Checking memory card...","",""
"0x1C38E4","36","通信ゲームファイルをロードします","載入連線遊戲存档","Load the online game save","",""
"0x1C3908","32","ファイルをロードしない場合は","如不載入，連線相關的資料","If you do not load the file","",""
"0x1C3928","40","モデムの設定や他のプレイヤーのＩＤ等が","例如modem設定、其他玩家的ID等","modem settings, other players' IDs","",""
"0x1C3950","36","セーブできませんのでご注意ください","將不會被儲存。","etc. will not be saved.","",""
"0x1C3974","40","通信ゲームファイルをロードしますか？","是否載入？","Do you want to load the file?","",""
"0x1C399C","44","通信ゲームファイルが見つかりませんでした","找不到連線遊戲存档","Online game save not found","",""
"0x1C39C8","28","ファイルを作成しない場合は","如不建立，連線相關的資料","If you do not create it","",""
"0x1C39E4","20","新規作成しますか？","是否建立？","Create the file?","",""
"0x1C39F8","20","「通信対戦」では","參與「連線対戦」","For ""Online Battle""","",""
"0x1C3A0C","36","パイロットネームの入力が必要です","必須輸入駕駛員名稱","Pilot name must be entered","",""
"0x1C3A30","40","パイロットネームの入力をお願いします","遊戲進行時其他玩家會看到駕駛員名稱","Other players will see it during battle","",""
"0x1C3A58","40","メモリーカードが見つかりませんでした","找不到記憶體(Sega VMU)","Cannot find memory card (Sega VMU)","",""
"0x1C3A80","48","通信ゲームファイルを利用せずに先へ進みますか？","不儲存連線遊戲資料，繼續進行遊戲？","Continue online game without online game save?","",""
"0x1C3AB0","36","通信対戦に入ると、セーブしていない","連線対戦的資料不會被儲存","Online battle data is not saved","",""
"0x1C3AD4","32","データが失われることがあります","所有相關資料將會遺失。","All relevant data wil be lost.","",""
"0x1C3AF4","32","パイロットネームも保存します","要儲存駕駛員名稱等相關資料，","To save pilot name, do you want","",""
"0x1C3B14","20","セーブしますか？","建立連線遊戲存档？","to create gamesave?","",""
"0x1C3B28","8","はい","確定","Yes","",""
"0x1C3B30","12","／いいえ","／取消","／No","",""
"0x1C3B3C","8","はい／","確定／","Yes／","",""
"0x1C3B44","8","いいえ","取消","No","",""
